PublisherID,Publisher
P700000221,Grand Central Publishing
P700000222,Scholastic Inc.
P700000223,Back Bay Books
P700000224,Harvest Books
P700000225,Vintage Books
P700000226,St. Martin's Press
P700000227,Pocket Books
P700000228,Yearling
P700000229,W. W. Norton Company
P700000230,Touchstone Books
P700000231,HarperCollins
P700000232,Arrow Books
P700000233,Broadway
P700000234,Ballantine Books
P700000235,Scribner
P700000236,Harper Perennial
P700000237,"Harcourt, Inc."
P700000238,Random House Children's Books
P700000239,Beacon Press
P700000240,Random House Bullseye Books
P700000241,Ace Books
P700000242,Alfred A. Knopf
P700000243,ReganBooks
P700000244,HarperTorch
P700000245,Random House Black Swan
P700000246,Picador USA
P700000247,McClelland & Stewart
P700000248,See Sharp Press
P700000249,New English Library
P700000250,New Millennium Library
P700000251,Berkley
P700000252,W.W. Norton & Company
P700000253,Warner
P700000254,Heinemann Library
P700000255,Ace
P700000256,Scribner Book Company
P700000257,Dell Publishing
P700000258,Del Rey / Ballantine Books
P700000259,Virago
P700000260,Dial Press Trade Paperback
P700000261,William Morrow
P700000262,Thorndike Press
P700000263,HarperOne
P700000264,Knopf
P700000265,Dramatists Play Service
P700000266,Dell Publishing Company
P700000267,Vintage International
P700000268,Avon Books
P700000269,Henry Holt and Co.
P700000270,Pantheon
P700000271,New English Library (Hodder & Stoughton)
P700000272,Rupa & Co
P700000273,"Little, Brown and Company"
P700000274,Harper Collins Children's Books
P700000275,BantamDell
P700000276,Avon
P700000277,Andrews McMeel Publishing
P700000278,Harpercollins Childrens Books
P700000279,Scholastic
P700000280,Dutton Juvenile
P700000281,Ballantine Books (Ballantine Reader's Circle)
P700000282,Ballantine
P700000283,Howard Publishing Co
P700000284,DC Comics
P700000285,MTV Books/Pocket Books
P700000286,Puffin
P700000287,Hodder & Stoughton
P700000288,W.W. Norton & Company (NYC)
P700000289,NAL Trade
P700000290,Random House Books for Young Readers
P700000291,Children's Classics
P700000292,Red Fox
P700000293,Doubleday Books
P700000294,Bantam Books
P700000295,Black Swan
P700000296,Plume
P700000297,Hill & Wang
P700000298,Del Rey
P700000299,Tor
P700000300,Yearling Books
P700000301,Harper
P700000302,Viking
P700000303,Harper Voyager
P700000304,Houghton Mifflin
P700000305,NAL
P700000306,Scholastic Inc
P700000307,New American Library
P700000308,Arthur A. Levine Books
P700000309,Disney Hyperion Books
P700000310,Margaret K. McElderry Books
P700000311,Katherine Tegen Books
P700000312,HarperCollins Children's Books
P700000313,Picador
P700000314,Scholastic Press
P700000315,David Fickling Books
P700000316,Viking Adult
P700000317,HarperCollins HarperTorch
P700000318,Twelve
P700000319,Speak
P700000320,The Penguin Group
P700000321,Little Brown & Co.
P700000322,Free Press
P700000323,McSweeney's
P700000324,The Penguin Press
P700000325,Ecco
P700000326,Crown
P700000327,Atria Books
P700000328,Windblown Media
P700000329,Penguin Razorbill
P700000330,William Morrow / HarperCollins / Harper Perennial
P700000331,Houghton Mifflin Co. (Boston/NY)
P700000332,Canongate Books
P700000333,Viking Penguin
P700000334,Warner Books
P700000335,Simon and Schuster
P700000336,Crystal Publishing
P700000337,Tor Books
P700000338,Razorbill
P700000339,DAW Books
P700000340,"Simon & Schuster, Margaret K. McElderry"
P700000341,Quercus
P700000342,Doubleday Nan A. Talese
P700000343,Dutton Books for Young Readers
